C128991,BLACK CENTRAL AMERICAN,Black Central American,,A person having origins in the original peoples of sub-Saharan Africa and Central America.
C43396,VIETNAMESE,Vietnamese,,A person having origins in any of the original peoples of Viet Nam.
C41261,WHITE,White,,Denotes a person with European, Middle Eastern, or North African ancestral origin who identifies, or is identified, as White. (FDA)
C128992,BLACK SOUTH AMERICAN,Black South American,,A person having origins in the original peoples of sub-Saharan Africa and South America.
C43397,LAOTIAN,Laotian,,A person having origins in any of the original peoples of Laos.
C77819,EASTERN EUROPEAN,Eastern European,,A person having origins in any of the original peoples of Eastern Europe.
C41262,ASIAN INDIAN,Asian Indian,,A person having origins in any of the original peoples of the Indian subcontinent.
C128937,AFRICAN AMERICAN,African American,,A person having origins in the original peoples of sub-Saharan Africa and the United States.
C128993,WHITE CENTRAL AMERICAN,White Central American,,A person having origins in the original peoples of Europe, the Middle East, or North Africa, and Central America.
C43398,HMONG,Hmong,,The native people originating in China around the Yellow River or Hoang Ho.
C43876,ARAB,Arab,,A person having origins in any of the original peoples of the Arabian peninsula and surrounding territories in the Middle East and northern Africa.
C44950,CENTRAL AMERICAN INDIAN,Central American Indian,,The native people of Central America.
C41226,AFRICAN CARIBBEAN,African Caribbean,,A person having origins in the original peoples of sub-Saharan Africa and the Caribbean.
C128938,BLACK,Black,,A person having origins in the original peoples of sub-Saharan Africa or the Caribbean.
C128994,WHITE SOUTH AMERICAN,White South American,,A person having origins in the original peoples of Europe, the Middle East, or North Africa, and South America.
C43399,CAMBODIAN,Cambodian,,A person having origins in any of the original peoples of Cambodia (formerly Kampuchea).
C77820,MIDDLE EASTERN,Middle Eastern,,A person having origins in any of the original peoples of the Middle East.
C43877,AMERICAN INDIAN,American Indian,,The native people of North America.
C43715,INDONESIAN,Indonesian,,A person having origins in any of the original peoples of Indonesia.
C67271,BAHAMIAN,Bahamian,,A person having origins in any of the original peoples of the Bahamas.
C43716,MALAYSIAN,Malaysian,,A person having origins in any of the original peoples of Malaysia.
C44953,SOUTH AMERICAN INDIAN,South American Indian,,The native people of South America.
C43860,RUSSIAN,Russian,,A person having origins in any of the original peoples of Russia.
C43823,BARBADIAN,Barbadian,,A person having origins in any of the original peoples of Barbados.
C43717,OKINAWAN,Okinawan,,A person having origins in any of the original peoples of Okinawa.
C43824,DOMINICA ISLANDER,Dominica Islander,,A person having origins in any of the original peoples of Dominica.
C43718,IWO JIMAN,Iwo Jiman,,A person having origins in any of the original peoples of Iwo Jima.
C43825,HAITIAN,Haitian,,A person having origins in any of the original peoples of Haiti.
C43719,MALDIVIAN,Maldivian,,A person having origins in any of the original peoples of the Maldives.
C43826,JAMAICAN,Jamaican,,A person having origins in any of the original peoples of Jamaica.
C44265,GREENLAND INUIT,Greenland Eskimo,,The native people of Greenland.
C43864,MONGOLIAN,Mongolian,,A person having origins in any of the original peoples of Mongolia.
C43827,TOBAGOAN,Tobagoan,,A person having origins in any of the original peoples of Tobago.
C43720,NEPALESE,Nepalese,,A person having origins in any of the original peoples of Nepal.
